"1","Bulbasaur","001","Kanto forests and jungles","When Bulbasaur are born, their mothers plant seeds on their backs. The plants form symbiotic relationships with their hosts, growing alongside the Pokémon and providing them with sustenance. By lying about in the sun, Bulbasaur allow the plants on their backs to photosynthesize and produce energy, which they can then use for themselves. The plants are able to become mobile by virtue of their active hosts, allowing them to move out of shaded areas and thus benefiting them as well. Additionally, Bulbasaur can utilize their plants to perform Grass- and Poison-type attacks such as Razor Leaf and Poison Powder. The attacks protect both the Pokémon and the plants from harm. In the wild, Bulbasaur tend to be very rare, as they are shy creatures that prefer the company of their own kind. However, they are also generally very docile, tame, and loyal to people that they trust, and for that reason are one of the species of Pokémon available for starting trainers to choose in the region of Kanto.","﻿Evolves into Ivysaur at Lvl 16Ivysaur evolves into Venusaur at Lvl 32","Grass/Poison"," 2'04\" | 0.7 m"," 15.2 lbs | 6.9 kg"," Overgrow |"," "," Monster | Grass"," Monster | Grass","
			Caution
		"
"12","Butterfree","012","Forests, jungles","The final stage of the Caterpie line, Butterfree evolve from Metapod and gain the ability of flight in the transformation. The wings they gain can let loose Poison Powder in battle; they are also water-repellant, allowing Butterfree to fly even in torrential rain. Butterfree consume honey from flowers and are excellent at detecting sources of it. They can trace minutes amounts of pollen back to flower patches, where they then feast on honey and nectar. Using the hairs on their legs, Butterfree are also able to carry the sticky substance back to their nests. They often fly as far as 6 miles (10 kilometers) to find nectar in blooming flowers. These Pokémon also have powerful compound eyes. Because of their water-resistant wings, Butterfree can often be found fluttering about in the misty upper levels of rainforests. However, the high moisture is not necessary for their survival; they are simply highly tolerant of it, so they are also found in drier forests as well, often flying in small swarms to search out locations where honey is abundant. They sometimes compete with Cutiefly for territory.","Caterpie evolves into Metapod at Lvl 7Evolves from Metapod at Lvl 10Certain Butterfree can Gigantamax into Gigantamax Butterfree","Bug/Flying"," 3'07\" | 1.1 m"," 70.5 lbs | 32.0 kg"," Compound Eyes | Tinted Lens"," Bug","Overview","Overview","
			Caution
		"
"13","Weedle","013","Forests, woodlands","Like many of their fellow Bug-types, Weedle are found in forests, most commonly in Kanto and Johto (though also occasionally in Sinnoh and Kalos as well). They are voracious eaters, consuming their weight in leaves daily. Though they appear helpless at a first glance, Weedle are in fact poisonous. The 2-inch (5 centimeter) barbs on their heads secrete a poison that, while not fatal, can be debilitating and cause moderate nausea, dizziness, and mild swelling at injured areas. The abundance of Weedle in dense forests makes accidental injuries and subsequent poisonings a very ​common problem among travelers. Trainers are advised to always carry Pecha Berries or Antidotes with them and to watch their step in Kanto and Johto forests. The stingers and brightly-colored bodies of these Pokémon are intended to ward off potential predators who would not enjoy a mouthful of toxins. Weedle also have a sharp sense of smell, using their nose-like proboscises to sense which leaves are safe to consume. Some Weedle even develop preferences for certain leaves.","Evolves into Kakuna at Lvl 7Kakuna evolves into Beedrill at Lvl 10","Bug/Poison"," 1'00\" | 0.3 m"," 7.1 lbs | 3.2 kg"," Shield Dust |"," "," Bug"," Bug","
			Caution
		"
"14","Kakuna","014","Forests, woodlands","When close to evolution, Weedle seek out trees, branches or piles of leaves to hide in; when they evolve into Kakuna, their ability to move becomes severely restricted, and they can only inch about very slowly. They can sometimes be seen hanging from tree branches on strands of silk in large numbers. Kakuna can only learn Harden naturally. When provoked, though, they can also extend poison barbs from their tips slightly to defend themselves. These Pokémon try to conserve as much energy as possible for evolution, however, so they will only exert energy to unsheathe their barbs when absolutely necessary. Their hard cocoons protect the soft bodies within, which essentially liquify as they reconfigure themselves for evolution. This process, a fervor of activity that contrasts their immobility, causes their internal body temperatures to rise drastically, so much so that the shells of Kakuna nearing evolution feel uncomfortably hot to the touch. Their bodies only continue to heat up as they draw closer to their final transformations.","﻿Evolves from Weedle at Lvl 7Evolves into Beedrill at Lvl 10","Bug/Poison"," 2'00\" | 0.6 m"," 22.0 lbs | 10.0 kg"," Shed Skin"," Bug","Habitat","Habitat","
			Caution
		"
"15","Beedrill","015","Forests, woodlands","Beedrill appear to be fierce Pokémon, and rightly so. They have three venomous stingers, one on their abdomens and two on their forelegs. Beedrill are extremely territorial, attacking anything that perceive as threats in swarms. They fly in at high speeds and jab foes with their stingers before taking them back to their nests for food. Theoretically, avoiding Beedrill swarm territory should allow travelers to avoid confrontation with these Pokémon. While this is true, complications arise when considering the fact that Beedrill are a rather abundant Pokémon; the combined territories of multiple swarms can take up the majority of a forest. While dangerous, however, Beedrill are also vital to the ecosystems of Kanto and Johto forests, helping prevent populations of Pokémon such as Paras and Pidgey from growing uncontrollably. Trainers traveling in Beedrill territory are strongly advised to bring along Pokémon that can handle Beedrill and their attacks, such as Twineedle and Poison Jab, as well as to bring along a number Pecha Berries and Antidotes.","﻿Weedle evolves into Kakuna at Lvl 7Evolves from Kakuna at Lvl 10Can Mega Evolve into Mega Beedrill","Bug/Poison"," 3'03\" | 1.0 m"," 65.0 lbs | 29.5 kg"," Swarm | Sniper"," Bug","Habitat","Habitat","
			Caution
		"
"16","Pidgey","016","Kanto and Johto forests, fields, and grasslands, cities","Pidgey are very docile Pokémon that prefer to avoid confrontation with other Pokémon and humans altogether, hiding in tall grass to prevent themselves from being seen. If cornered, though, they will attempt to escape by using Sand Attack to blind foes or Whirlwind to blow them away and buy themselves time to fly away. When hunting, however, Pidgey often use these attacks to stir up their surroundings, exposing vulnerable insects for them to chase down. These Pokémon have extremely keen senses of direction. They can always find their way back to their nests regardless of how far they have flown. Because of this, Pidgey were commonly used to send messages in the Kanto and Johto regions (much like the Wingull of Hoenn), at least until the advent of e-mail. Many Pidgey have grown accustomed to and now dwell in urban areas due to this practice, flying to forests and fields only to hunt for food before returning back to their nests in cities. Some people still train Pidgey to deliver messages as a way of preserving tradition.","Evolves into Pidgeotto at Lvl 18Pidgeotto evolves into Pidgeot at Lvl 36","Normal/Flying"," 1'00\" | 0.3 m"," 4.0 lbs | 1.8 kg"," Keen Eye | Tangled Feet |"," "," Flying"," Flying","
			Caution
		"
"17","Pidgeotto","017","Kanto and Johto forests and fields","Upon evolving from Pidgey, Pidgeotto become much braver, no longer shying away from confrontation. They are also fiercely territorial, patrolling the skies above their domains by flying slowly in circular patterns and watching for both intruders as well as prey. Pidgeotto have outstanding vision, and are able to locate prey over a mile (1.6 kilometers) below. When they spot something, such as a Caterpie for example, they will dive down and attack with their sharp talons and powerful beaks. Like Pidgey, they have keen sense of direction in addition to their strength; Pidgeotto can carry ​prey back to their nests with ease, and can travel over 60 miles (100 kilometers) in the process. Due to their extremely territorial natures, most urban Pidgey nearing evolution migrate, often in flocks, to the nearby forests where they hunt; they then split up and stake out their own territories. This phenomenon is notably only present in metropolitan Pidgey--Pidgey in less densely-populated, rural areas often will stay where they are upon evolution.","​﻿Evolves from Pidgey at Lvl 18Evolves into Pidgeot at Lvl 36","Normal/Flying"," 3'07\" | 1.1 m"," 66.1 lbs | 30.0 kg"," Keen Eye | Tangled Feet |"," "," Flying"," Flying","
			Caution
		"
"18","Pidgeot","018","Kanto and Johto forests and fields","Pidgeot, the final stage of the Pidgey line, are less docile than their first stages, but not as hostile as their second. While still territorial, they no longer attack others for simply entering their turfs; rather, they wait and use their keen eyesight to watch from far away, seeing whether their intruders have ill intentions. If they are not endangering the Pokémon or their offspring, they will leave them be. However, they will defeat potential threats without hesitation using their powerful chest muscles to whip up windstorms strong enough to bend tall trees. While hunting, Pidgeot can spot prey from 3,300 feet (1,000 meters). They dive down to lake surfaces to snatch splashing Magikarp with their sharp talons, reaching speeds of up to Mach 2. When approached, Pidgeot will spread out their wings to intimidate foes. If the tactic fails, they will quickly resort to flapping their wings to create powerful gusts before attacking with their talons. The beautiful, glossy feathers on their heads are symbols of speed in popular culture.","﻿Pidgey evolves into Pidgeotto at Lvl 18Evolves from Pidgeotto at Lvl 36​Can Mega Evolve into Mega Pidgeot","Normal/Flying"," 4'11\" | 1.5 m"," 87.1 lbs | 39.5 kg"," Keen Eye | Tangled Feet |"," "," Flying"," Flying","
			Caution
		"
"19","Rattata","019","Fields, plains, savannas, urban areas","Rattata are common Pokémon, often found in the fields and urban areas of many regions. They live in large groups of 40 to 50 members, and are almost never separated; if one finds a Rattata dwelling in their home, it is certain that there are dozens more hiding around as well. They can be a nuisance, as they eat nearly anything and are extremely quick, seemingly unable to stay still for long periods of time. If a Rattata locates food, it will call upon its group-mates to join it. They will then settle in the area and reproduce continuously. In addition to consuming ​large amounts of food, Rattata also pack a vicious bite. They can potentially pass diseases through puncture wounds. Their teeth never stop growing, so they must constantly gnaw on hard objects to whittle them down or risk starvation, unable to close their mouths. They often use manmade objects such as telephone poles for this purpose. All this together makes Rattata huge household pests, so many employ Pokémon like Meowth and Glameow to deal with them.","Evolves into Raticate at Lvl 20Also see Alolan Rattata","Normal"," 1'00\" | 0.3 m"," 7.7 lbs | 3.5 kg"," Run Away | Guts |"," Hustle"," Field"," Field","
			Caution
		"
"20","Raticate","020","Fields, plains, savannas, urban areas","Evolving from Rattata, Raticate remain just as much a nuisance to homeowners, only more aggressive. Luckily, however, they also live in smaller groups, as large groups Rattata generally split into groups of 8 to 10 or so upon evolution. Like their pre-evolutions, Raticate must constantly whittle down their teeth. In the wild, they gnaw on rocks and logs to keep them in prime condition, but urban Raticate often choose to whittle on concrete and cinder walls of houses, a danger to many homes. Their whiskers provide them with balance; if they are damaged or cut off, the coordination and speed of these Pokémon are cut drastically. Their hind feet are adapted to swimming, allowing them to easily cross rivers. If a Raticate feels threatened, it will stand on its hind legs and let out an shrill shriek, calling its group-mates to join and defend it. The best way to defend against Raticate in the home is to prevent Rattata from invading in the first place before they evolve. Alternatively, Persian and Purugly can also deal with Raticate.","​﻿Evolves from Rattata at Lvl 20​Also see Alolan Raticate","Research NotesAlolan Form","Normal"," 2'04\" | 0.7 m"," 40.8 lbs | 18.5 kg"," Run Away | Guts |"," Field"," Field","
			Caution
		"
"21","Spearow","021","Barren wastelands, fields, rocky areas","Spearow can fly very high and fast, but expend a lot of energy flapping their tiny wings to do so. Because of this, they can only fly for short distances. They flush out bugs by flapping their wings in tall grass to create gusts, like their relatives Pidgey. Spearow are highly aggressive and territorial, closely observing their land and letting out high-pitched shrieks that can be heard from over a half-mile (a kilometer) away to alert fellow Spearow of potential dangers. Though territorial against other Pokémon, Spearow are not solitary and will coexist with others of their kind. Their calls signal nearby Spearow to flock together and attack. Because they almost always attack in large flocks, Spearow can be very formidable foes despite their small size and individual weakness. Lone Spearow can be reckless when facing large foes, however. Flocks can be dangerous to unwary travelers, so trainers must always be cautious of Spearow cries while traveling through their territory. Farmers appreciate them, though, for clearing fields of pests.","Evolves into Fearow at Lvl 20","Normal/Flying"," 1'00\" | 0.3 m"," 4.4 lbs | 2.0 kg"," Keen Eye |"," Sniper"," Flying"," Flying","
			Caution
		"
"22","Fearow","022","Rock spires near canyons, wastelands, tall trees","Like Spearow, Fearow are very territorial; luckily for travelers, though, they prefer to keep to themselves, only attacking those who draw too near to their nests or young. They enjoy flying, often spreading their large wings and soaring effortlessly through the air for up to 24 hours without landing; they can carry heavy loads in their talons in flight. When hunting, Fearow soar high up into the air. When they spot prey, they dive down below and attack (often the common Rattata or their fellow Flying-type Pokémon Pidgey) with their long beaks. They use their narrow beaks to dig through soil or reach below the water to catch prey if needed. Because they are known to attack Pokémon often viewed as “cute” and “popular”, such as Pichu, Fearow are often maligned in popular culture as wicked, heartless fighters. However, anyone who has ever raised a Fearow know that while wary and sometimes aggressive to strangers, they can also be very loyal and protective Pokémon; archaeologists have found carvings of them protecting people in Johto.","﻿Evolves from Spearow at Lvl 20","Normal/Flying"," 3'11\" | 1.2 m"," 83.8 lbs | 38.0 kg"," Keen Eye |"," Sniper"," Flying"," Flying","
			Caution
		"
"23","Ekans","023","Savannas, plains","When first born, Ekans lack any poison whatsoever, so being bit by very young Ekans is unlikely to be too dangerous (apart from the pain of the bites themselves). As Ekans develop, their bodies elongate and they begin to develop poison glands. Ekans use their poison more as a defense as opposed to an offense. They mainly prey on the defenseless eggs of Pidgey and Spearow. Using their tongues to sense their surroundings, Ekans are able to locate nests of eggs with ease. They can unhinge their jaws and swallow eggs whole, though unlucky Ekans may end up immobile from the sheer weight of those eggs until digestion (or even fainted if attempting huge eggs). Hiding in tall grass, Ekans avoid predators and warn those who approach with a rattling sound from their tails. Should the sound fail, they will attempt to paralyze attackers with Glare, and as a last resort bite opponents to poison them. Ekans often coil around tree branches to rest if they are available, but are also content to curl up into spirals so their heads can easily attack potential predators when threatened.","Evolves into Arbok at Lvl 22","Poison"," 6'07\" | 2.0 m"," 15.2 lbs | 6.9 kg"," Intimidate | Shed Skin |"," Unnerve"," Field | Dragon"," Field | Dragon","
			Caution
		"
"24","Arbok","024","Savannas, plains","Arbok are vicious hunters--and vengeful ones at that. If attacked, they will chase down opponents relentlessly until they catch them. Arbok are masters of intimidation. The patterns on their bellies can paralyze foes in fear. These belly patterns differs from area to area. If the patterns alone are insufficient, they can also make eerie hissing noises by expelling air slowly from their mouths. Once their prey are immobilized, Arbok will constrict them with a crushing force able to flatten steel oil drums. They can easily poison stronger foes, weakening them enough for them to constrict easily. ​Surprisingly, Arbok are rather adept swimmers as well, capable of crossing lakes and rivers effortlessly. Notably, Arbok seem to become mesmerized and peaceful upon hearing the sound of wind instruments like Poké Flutes. An Arbok in the middle of constricting its prey will even loosen its grip upon hearing such sounds. Because of this, Poké Flutes have become one of the most reliable ways to deal with aggressive Arbok, with some cultures even developing performances out of the art.","﻿Evolves from Ekans at Lvl 22","Poison"," 11'06\" | 3.5 m"," 143.3 lbs | 65.0 kg"," Intimidate | Shed Skin |"," Unnerve"," Field | Dragon"," Field | Dragon","
			Caution
		"
"25","Pikachu","025","Forests, areas with electrical activity","Pikachu are social Pokémon that live in groups in secluded forests, rarely interacting with humans at all. These groups, if large enough, can create small electrical storms in cloudy weather. Pikachu are very cautious Pokémon, keeping their sensitive tails raised to detect minor changes in the atmosphere--a telltale sign that danger may be near. Their tails are sometimes struck by lightning during the storms they create in these poses. If a Pikachu’s tail is disturbed, the Pokémon may attack the offender by biting or using Thunder Shock. Wild Pikachu will touch tails to greet one another. They store electricity in their cheek ​pouches, which are believed to recharge while they sleep; Pikachu with stronger electricity are said to have softer, more elastic pouches. Pikachu are also very intelligent and friendly to their own kind. They are known to shock hard Berries to roast and tenderize them as well as give fellow Pikachu small shocks to recharge them. Pikachu are popular as the unofficial “fourth starter” of the Kanto region, with many trainers opting to start their journeys with Pikachu as opposed to one of the three traditional starters.","﻿Evolves from Pichu with high happinessEvolves into Raichu with a Thunder Stone in most regions or Alolan Raichu with a Thunder Stone in Alola​Certain Pikachu can Gigantamax into Gigantamax Pikachu","Electric"," 1'04\" | 0.4 m"," 13.2 lbs | 6.0 kg"," Static |"," Lightning Rod"," Field | Fairy"," Field | Fairy","
			Caution
		"
"26","Raichu","026","Forests, areas with electrical activity","Raichu are a rarity in the wild, as exposure to Thunder Stones is necessary to catalyze their evolutions from Pikachu. Most Raichu are trainer-owned, though there are a few in the wild living in areas near their Pikachu brethren. Raichu can unleash extremely strong electrical attacks reaching up to 100,000 volts at a time for their more powerful moves. They ground their tails to discharge excess electricity from into the earth, leaving behind scorch marks. Their strong electrical powers lead them to constantly exude weak electrical charges, causing them to glow faintly in the ​dark. These Pokémon can draw electricity straight from the atmosphere simply by raising their tails. Their electricity levels are directly linked with their moods; a Raichu with little electricity is weak and depressed, while one that is filled to the brim is powerful and even aggressive at times. Notably, an angered, fully-charged Raichu’s ears stand straight on end, a warning sign for enemies to quickly back away.","Pichu evolves into Pikachu with high happinessEvolves from Pikachu with a Thunder StoneAlso see Alolan Raichu","Electric"," 2'07\" | 0.8 m"," 66.1 lbs | 30.0 kg"," Static |"," Lightning Rod"," Field | Fairy"," Field | Fairy","
			Caution
		"
"27","Sandshrew","027","Caves, grasslands, deserts","Sandshrew live in arid climates, as they hate water. They create burrows underground for shelter. When hunting, they wait near the lips of their burrows, lunging out at unsuspecting prey. Sandshrew can roll up into tight balls when endangered to protect their soft underbellies. Their hides can bounce off many attacks, and are additionally also great shock absorbers. A Sandshrew falling off a cliff, for example, could save itself by rolling into a ball; it would be able to not only survive the impact, but even crawl away mostly unscathed. Their bodies are also configured to live off as little water as possible, since they are extremely weak to the liquid. Sandshrew often curl up into balls on cold nights to prevent dew from building up on their bellies. If wet, they will sunbathe or even travel to volcanic areas to dry off. While rolling up is a sufficient defense against most enemies, Sandshrew can also use Sand Attack and curiously Poison Sting to defend themselves, as their claws secrete a mild poison. Recently, researchers have discovered that their saliva in fact contains the same poison.","﻿Evolves into Sandslash at Lvl 22Also see Alolan Sandshrew","Ground"," 2'00\" | 0.6 m"," 26.5 lbs | 12.0 kg"," Sand Veil |"," Sand Rush"," Field"," Field","
			Caution
		"
